Algoritmo;Tamanho;Ordem;Comparacoes;Trocas;Tempo(s)
quicksortmediana;500000;2;11475708;499999;0,014937800
radixSort;500000;2;499999;6000000;0,021246500
bucketSort;500000;2;499999;500000;0,002354000
bolha;500000;3;124999750000;124999750000;343,427160400
bolhaComParada;500000;3;124999750000;124999750000;354,497984500
selecaoDireta;500000;3;124999750000;250000;155,785374200
ordenaBinaria;500000;3;8975713;124999750000;128,871339300
ordenaTernaria;500000;3;5601426;124999750000;128,688648100
shellSort;500000;3;8622570;3451804;0,019055500
ordenaDireta;500000;3;124999750000;124999750000;221,927525000
heapSort;500000;3;16977997;8668450;0,047687600
mergeSortWrapper;500000;3;4692496;18951424;0,054475900
quicksortcentro;500000;3;9975710;749998;0,012713800
quicksortfim;500000;3;125000000000;499999;115,196746100
quicksortmediana;500000;3;11475707;750000;0,015622100
radixSort;500000;3;499999;6000000;0,021231200
bucketSort;500000;3;499999;500000;0,002594400
